Location, Date, Time, Sensor Type, Reading, 
I2, 10/21/2021 12:00:00 AM, 14:11:15, Water Level, 237, 
I2, 10/21/2021 12:00:00 AM, 14:11:35, Water Level, 219, 
I2, 10/21/2021 12:00:00 AM, 14:11:56, Water Level, 225, 
I2, 10/21/2021 12:00:00 AM, 14:12:17, Water Level, 226, 
I2, 10/21/2021 12:00:00 AM, 14:12:37, Water Level, 220, 
I2, 10/21/2021 12:00:00 AM, 14:12:58, Water Level, 228, 
I2, 10/21/2021 12:00:00 AM, 14:13:19, Water Level, 229, 
I2, 10/21/2021 12:00:00 AM, 14:13:40, Water Level, 224, 
I2, 10/21/2021 12:00:00 AM, 14:14:00, Water Level, 226, 
I2, 10/21/2021 12:00:00 AM, 14:14:21, Water Level, 222, 
I2, 10/21/2021 12:00:00 AM, 14:14:42, Water Level, 225, 
I2, 10/21/2021 12:00:00 AM, 14:15:02, Water Level, 222, 
I2, 10/21/2021 12:00:00 AM, 14:15:23, Water Level, 233, 
I2, 10/21/2021 12:00:00 AM, 14:15:44, Water Level, 217, 
I2, 10/21/2021 12:00:00 AM, 14:16:05, Water Level, 228, 
I2, 10/21/2021 12:00:00 AM, 14:16:25, Water Level, 210, 
I2, 10/21/2021 12:00:00 AM, 14:16:46, Water Level, 227, 
I2, 10/21/2021 12:00:00 AM, 14:17:07, Water Level, 225, 
I2, 10/21/2021 12:00:00 AM, 14:17:28, Water Level, 223, 
I2, 10/21/2021 12:00:00 AM, 14:17:49, Water Level, 223, 
I2, 10/21/2021 12:00:00 AM, 14:18:10, Water Level, 216, 
I2, 10/21/2021 12:00:00 AM, 14:18:31, Water Level, 233, 
I2, 10/21/2021 12:00:00 AM, 14:18:52, Water Level, 235, 
I2, 10/21/2021 12:00:00 AM, 14:19:13, Water Level, 220, 
I2, 10/21/2021 12:00:00 AM, 14:19:34, Water Level, 226, 
I2, 10/21/2021 12:00:00 AM, 14:19:54, Water Level, 223, 
I2, 10/21/2021 12:00:00 AM, 14:20:16, Water Level, 218, 
I2, 10/21/2021 12:00:00 AM, 14:20:36, Water Level, 226, 
I2, 10/21/2021 12:00:00 AM, 14:20:57, Water Level, 219, 
I2, 10/21/2021 12:00:00 AM, 14:21:18, Water Level, 224, 
I2, 10/21/2021 12:00:00 AM, 14:21:39, Water Level, 228, 
I2, 10/21/2021 12:00:00 AM, 14:22:00, Water Level, 228, 
I2, 10/21/2021 12:00:00 AM, 14:22:21, Water Level, 231, 
I2, 10/21/2021 12:00:00 AM, 14:22:41, Water Level, 226, 
I2, 10/21/2021 12:00:00 AM, 14:23:02, Water Level, 228, 
I2, 10/21/2021 12:00:00 AM, 14:23:23, Water Level, 224, 
I2, 10/21/2021 12:00:00 AM, 14:23:44, Water Level, 227, 
I2, 10/21/2021 12:00:00 AM, 14:24:05, Water Level, 230, 
I2, 10/21/2021 12:00:00 AM, 14:24:26, Water Level, 225, 
I2, 10/21/2021 12:00:00 AM, 14:24:46, Water Level, 242, 
I2, 10/21/2021 12:00:00 AM, 14:25:07, Water Level, 224, 
I2, 10/21/2021 12:00:00 AM, 14:25:28, Water Level, 226, 
I2, 10/21/2021 12:00:00 AM, 14:25:49, Water Level, 222, 
I2, 10/21/2021 12:00:00 AM, 14:26:09, Water Level, 227, 
I2, 10/21/2021 12:00:00 AM, 14:26:30, Water Level, 226, 
I2, 10/21/2021 12:00:00 AM, 14:26:51, Water Level, 228, 
I2, 10/21/2021 12:00:00 AM, 14:27:12, Water Level, 227, 
I2, 10/21/2021 12:00:00 AM, 14:27:32, Water Level, 225, 
I2, 10/21/2021 12:00:00 AM, 14:27:53, Water Level, 229, 
I2, 10/21/2021 12:00:00 AM, 14:28:14, Water Level, 232, 
I2, 10/21/2021 12:00:00 AM, 14:28:35, Water Level, 225, 
I2, 10/21/2021 12:00:00 AM, 14:28:56, Water Level, 227, 
I2, 10/21/2021 12:00:00 AM, 14:29:17, Water Level, 227, 
I2, 10/21/2021 12:00:00 AM, 14:29:38, Water Level, 226, 
I2, 10/21/2021 12:00:00 AM, 14:29:58, Water Level, 227, 
I2, 10/21/2021 12:00:00 AM, 14:30:19, Water Level, 222, 
I2, 10/21/2021 12:00:00 AM, 14:30:40, Water Level, 224, 
I2, 10/21/2021 12:00:00 AM, 14:31:01, Water Level, 226, 
I2, 10/21/2021 12:00:00 AM, 14:31:22, Water Level, 227, 
I2, 10/21/2021 12:00:00 AM, 14:31:43, Water Level, 227, 
I2, 10/21/2021 12:00:00 AM, 14:32:04, Water Level, 227, 
I2, 10/21/2021 12:00:00 AM, 14:32:25, Water Level, 225, 
I2, 10/21/2021 12:00:00 AM, 14:32:45, Water Level, 228, 
I2, 10/21/2021 12:00:00 AM, 14:33:06, Water Level, 222, 
